,Indice,id_anony,Anho,Cod.Car.Sec,Nota.Final,Aprobado,1P,2P,Taller,Firma,Derecho a Recuperatorio,Derecho a Final,Primer.Rec,Segundo.Rec,Primer Intento,Segundo Intento,Calificacion,Aprobo
16957,1403.0,es_6864,2019,CIV-PLS13 ,,N,5,5,3,13,False,False,0,0,0.0,0.0,0.0,False
16958,1404.0,es_9773,2019,CIV-PLS13 ,1F-5,S,23,34,9,66,True,True,0,0,5.0,0.0,5.0,True
16959,1405.0,es_9774,2019,MCT-PLS13 ,1F-4,S,20,25,10,55,True,True,0,0,4.0,0.0,4.0,True
16960,1406.0,es_9775,2019,ELE-PLS13 ,1F-5,S,22,27,10,59,True,True,0,0,5.0,0.0,5.0,True
16962,1408.0,es_6874,2019,CIV-PLS13 ,1F-1,N,16,18,7,41,True,True,0,0,1.0,0.0,1.0,False
16963,1409.0,es_9776,2019,CIV-PLS13 ,,N,4,15,4,23,False,False,16,0,0.0,0.0,0.0,False
16965,1411.0,es_6877,2019,CIV-PLS13 ,1F-2,S,17,25,8,50,True,True,0,0,2.0,0.0,2.0,True
16966,1412.0,es_6879,2019,CIV-PLS13 ,1F-2,S,14,26,8,48,True,True,0,0,2.0,0.0,2.0,True
16968,1414.0,es_6880,2019,CIV-PLS13 ,1F-3,S,17,23,9,49,True,True,0,0,3.0,0.0,3.0,True
16969,1415.0,es_9727,2019,ELE-PLS13 ,,N,10,19,8,37,True,True,0,0,0.0,0.0,0.0,False
16971,1417.0,es_9730,2019,ELE-PLS13 ,,N,10,11,8,29,True,False,28,0,0.0,0.0,0.0,False
16972,1418.0,es_9777,2019,CIV-PLS13 ,1F-3,S,15,21,10,46,True,True,0,0,3.0,0.0,3.0,True
16973,1419.0,es_6897,2019,ECA-PLS13 ,,N,10,9,6,25,True,False,10,0,0.0,0.0,0.0,False
16974,1420.0,es_6898,2019,CIV-PLS13 ,,N,10,18,7,35,True,True,40,0,0.0,0.0,0.0,False
16975,1421.0,es_6900,2019,CIV-PLS13 ,1F-4,S,17,25,10,52,True,True,0,0,4.0,0.0,4.0,True
16977,1423.0,es_9778,2019,ELE-PLS13 ,1F-2,S,11,21,8,40,True,True,0,0,2.0,0.0,2.0,True
16978,1424.0,es_9779,2019,CIV-PLS13 ,1F-5,S,17,27,9,53,True,True,0,0,5.0,0.0,5.0,True
16980,1426.0,es_6915,2019,CIV-PLS13 ,,N,8,18,5,31,False,False,26,0,0.0,0.0,0.0,False
16981,1427.0,es_6917,2019,CIV-PLS13 ,,N,3,0,7,10,False,False,0,0,0.0,0.0,0.0,False
16982,1428.0,es_9780,2019,MCT-PLS13 ,1F-5,S,23,28,10,61,True,True,0,0,5.0,0.0,5.0,True
16985,1431.0,es_6927,2019,IND-PLS13 ,,N,4,15,4,23,False,False,20,0,0.0,0.0,0.0,False
16986,1432.0,es_9781,2019,ELE-PLS13 ,1F-5,S,24,34,10,68,True,True,0,0,5.0,0.0,5.0,True
16990,1436.0,es_6934,2019,CIV-PLS13 ,,N,9,3,4,16,False,False,0,0,0.0,0.0,0.0,False
16991,1437.0,es_9782,2019,MCT-PLS13 ,,N,8,7,7,22,True,False,0,0,0.0,0.0,0.0,False
16992,1438.0,es_7469,2019,ELE-PLS13 ,,N,12,13,7,32,True,False,18,0,0.0,0.0,0.0,False
16993,1439.0,es_7674,2019,ELE-PLS13 ,,N,9,15,8,32,True,False,20,0,0.0,0.0,0.0,False
16994,1440.0,es_9783,2019,ELE-PLS13 ,1F-1,N,4,21,10,35,True,True,0,0,1.0,0.0,1.0,False
16995,1441.0,es_9653,2019,IND-PLS13 ,1F-1,N,18,11,6,35,True,True,0,0,1.0,0.0,1.0,False
16996,1442.0,es_6935,2019,CIV-PLS13 ,1F-1,N,10,26,9,45,True,True,0,0,1.0,0.0,1.0,False
