Anho,Ciclo,Cod.Asign,Asignatura,Aprobado,1P,2P,Taller,RecursaConFirma,DerechoAFinal,Primer.Rec,Segundo.Rec,id_anony,Calificacion
2017,1,13008,CALCULO 2,1,24,30,0,1,1,0,0,es_5860,5.0
2017,1,13008,CALCULO 2,1,22,13,0,1,1,0,0,es_5203,3.0
2017,1,13008,CALCULO 2,1,17,11,0,1,1,0,0,es_5204,2.0
2017,1,13008,CALCULO 2,0,0,0,0,1,1,0,0,es_5205,1.0
2017,1,13008,CALCULO 2,1,11,13,0,1,1,0,0,es_5209,3.0
2017,1,13008,CALCULO 2,0,16,0,0,1,1,0,0,es_5210,0.0
2017,1,13008,CALCULO 2,0,20,2,0,0,0,0,0,es_5874,0.0
2017,1,13008,CALCULO 2,1,22,14,0,1,1,0,0,es_5212,3.0
2017,1,13008,CALCULO 2,1,24,0,0,1,1,0,0,es_5213,2.0
2017,1,13008,CALCULO 2,1,21,23,0,1,1,0,0,es_5878,4.0
2017,1,13008,CALCULO 2,0,13,7,0,0,0,0,0,es_4412,0.0
2017,1,13008,CALCULO 2,1,20,13,0,1,1,0,0,es_5882,2.0
2017,1,13008,CALCULO 2,1,0,0,0,1,1,0,0,es_5218,2.0
2017,1,13008,CALCULO 2,0,18,5,0,0,0,0,0,es_4413,0.0
2017,1,13008,CALCULO 2,1,22,8,0,1,1,0,0,es_4121,3.0
2017,1,13008,CALCULO 2,0,19,2,0,1,1,0,0,es_4743,1.0
2017,1,13008,CALCULO 2,1,18,20,0,1,1,0,0,es_5887,4.0
2017,1,13008,CALCULO 2,1,18,22,0,1,1,0,0,es_5890,5.0
2017,1,13008,CALCULO 2,1,23,24,0,1,1,0,0,es_5891,5.0
2017,1,13008,CALCULO 2,1,21,23,0,1,1,0,0,es_5894,5.0
2017,1,13008,CALCULO 2,1,20,23,0,1,1,0,0,es_5895,5.0
2017,1,13008,CALCULO 2,0,9,11,0,1,1,0,0,es_5231,1.0
2017,1,13008,CALCULO 2,1,11,6,0,1,1,0,0,es_5234,2.0
2017,1,13008,CALCULO 2,1,23,18,0,1,1,0,0,es_5900,4.0
2017,1,13008,CALCULO 2,0,0,0,0,1,1,0,0,es_4749,0.0
2017,1,13008,CALCULO 2,0,13,9,0,1,1,0,0,es_5239,0.0
2017,1,13008,CALCULO 2,0,17,0,0,0,0,0,0,es_5240,0.0
2017,1,13008,CALCULO 2,0,16,3,0,0,0,0,0,es_5243,0.0
2017,1,13008,CALCULO 2,1,20,23,0,1,1,0,0,es_5910,4.0
2017,1,13008,CALCULO 2,1,24,24,0,1,1,0,0,es_5912,4.0
2017,1,13008,CALCULO 2,1,15,0,0,1,1,0,0,es_5247,2.0
2017,1,13008,CALCULO 2,1,20,23,0,1,1,0,0,es_5249,3.0
2017,1,13008,CALCULO 2,1,13,14,0,1,1,0,0,es_5252,3.0
2017,1,13008,CALCULO 2,1,13,0,0,1,1,0,0,es_5254,4.0
2017,1,13008,CALCULO 2,0,15,5,0,0,0,0,0,es_4759,0.0
2017,1,13008,CALCULO 2,1,23,12,0,1,1,0,0,es_5256,2.0
2017,1,13008,CALCULO 2,0,18,13,0,1,1,0,0,es_5925,1.0
2017,1,13008,CALCULO 2,1,19,7,0,1,1,0,0,es_5266,2.0
2017,1,13008,CALCULO 2,1,0,0,0,1,1,0,0,es_4761,3.0
2017,1,13008,CALCULO 2,1,20,23,0,1,1,0,0,es_5927,4.0
2017,1,13008,CALCULO 2,0,22,21,0,1,1,0,0,es_5937,0.0
2017,1,13008,CALCULO 2,1,18,31,0,1,1,0,0,es_5938,5.0
2017,1,13008,CALCULO 2,1,24,18,0,1,1,0,0,es_5939,4.0
2017,1,13008,CALCULO 2,1,24,27,0,1,1,0,0,es_5945,4.0
2017,1,13008,CALCULO 2,0,16,3,0,1,1,0,0,es_5285,1.0
2017,1,13008,CALCULO 2,0,15,7,0,0,0,0,0,es_4767,0.0
2017,1,13008,CALCULO 2,0,15,8,0,0,0,0,0,es_5950,0.0
2017,1,13008,CALCULO 2,0,12,9,0,0,0,0,0,es_5291,0.0
2017,1,13008,CALCULO 2,1,20,20,0,1,1,0,0,es_5952,5.0
2017,1,13008,CALCULO 2,1,16,14,0,1,1,0,0,es_5953,4.0
2017,1,13008,CALCULO 2,1,21,14,0,1,1,0,0,es_5294,4.0
2017,1,13008,CALCULO 2,1,18,16,0,1,1,0,0,es_5296,2.0
2017,1,13008,CALCULO 2,1,24,21,0,1,1,0,0,es_5954,5.0
2017,1,13008,CALCULO 2,1,22,19,0,1,1,0,0,es_5958,5.0
2017,1,13008,CALCULO 2,1,24,24,0,1,1,0,0,es_5961,5.0
2017,1,13008,CALCULO 2,1,0,0,0,1,1,0,0,es_5302,3.0
2017,1,13008,CALCULO 2,1,20,19,0,1,1,0,0,es_5966,4.0
2017,1,13008,CALCULO 2,1,16,29,0,1,1,0,0,es_4436,4.0
2017,1,13008,CALCULO 2,1,9,21,0,1,1,0,0,es_5307,2.0
2017,1,13008,CALCULO 2,1,16,23,0,1,1,0,0,es_5309,4.0
2017,1,13008,CALCULO 2,1,19,14,0,1,1,0,0,es_5972,3.0
2017,1,13008,CALCULO 2,1,18,21,0,1,1,0,0,es_5974,5.0
2017,1,13008,CALCULO 2,1,19,23,0,1,1,0,0,es_5311,4.0
2017,1,13008,CALCULO 2,1,21,20,0,1,1,0,0,es_5979,5.0
2017,1,13008,CALCULO 2,1,22,2,0,1,1,0,0,es_5316,2.0
2017,1,13008,CALCULO 2,1,21,14,0,1,1,0,0,es_4782,2.0
2017,1,13008,CALCULO 2,1,23,14,0,1,1,0,0,es_5988,5.0
2017,1,13008,CALCULO 2,1,24,14,0,1,1,0,0,es_5991,4.0
2017,1,13008,CALCULO 2,1,17,17,0,1,1,0,0,es_5319,2.0
2017,1,13008,CALCULO 2,1,19,18,0,1,1,0,0,es_5323,5.0
2017,1,13008,CALCULO 2,1,22,32,0,1,1,0,0,es_6002,5.0
2017,1,13008,CALCULO 2,0,13,11,0,0,0,0,0,es_5330,0.0
2017,1,13008,CALCULO 2,1,23,5,0,1,1,0,0,es_5331,3.0
2017,1,13008,CALCULO 2,1,22,14,0,1,1,0,0,es_6006,5.0
2017,1,13008,CALCULO 2,1,17,15,0,1,1,0,0,es_6009,4.0
2017,1,13008,CALCULO 2,1,17,18,0,1,1,0,0,es_6012,2.0
2017,1,13008,CALCULO 2,0,16,8,0,0,0,0,0,es_5335,0.0
2017,1,13008,CALCULO 2,0,0,0,0,1,1,0,0,es_4792,0.0
2017,1,13008,CALCULO 2,1,17,26,0,1,1,0,0,es_5336,3.0
2017,1,13008,CALCULO 2,1,21,25,0,1,1,0,0,es_6015,5.0
2017,1,13008,CALCULO 2,1,24,34,0,1,1,0,0,es_4798,5.0
2017,1,13008,CALCULO 2,0,22,4,0,0,0,0,0,es_5345,0.0
