1P,2P,Taller,Aprobado
13,8,6,0
12,13,6,0
18,16,6,0
5,13,8,0
12,6,6,0
14,5,10,0
17,16,6,1
13,9,9,0
17,18,7,1
13,12,6,0
10,22,6,1
15,19,8,1
15,11,6,0
16,18,9,0
9,24,6,0
13,17,6,0
15,10,8,0
20,10,6,0
13,8,7,0
13,22,9,1
9,14,6,0
15,5,2,0
12,20,7,0
13,16,6,1
12,25,9,0
6,12,3,0
18,20,9,1
15,16,10,0
15,5,8,0
11,11,6,0
20,20,7,1
6,11,8,0
6,15,2,0
11,7,6,0
15,22,10,1
14,9,6,0
16,11,8,0
13,11,6,0
13,17,8,0
15,10,7,0
17,14,6,0
16,12,6,0
20,12,8,1
14,14,7,0
17,7,8,0
18,7,6,0
15,13,8,0
17,16,6,0
21,31,9,1
18,12,6,0
12,20,8,0
13,16,4,0
21,22,9,1
12,12,9,0
21,10,8,0
15,6,6,0
7,10,6,0
16,18,9,1
14,20,6,0
17,18,7,1
13,27,9,1
20,30,10,1
16,11,9,0
17,16,6,0
11,22,9,0
9,9,6,0
13,8,7,0
12,22,6,0
12,8,6,0
16,7,7,0
17,21,6,1
21,34,10,1
20,15,8,1
10,29,10,1
17,34,10,1
14,7,6,0
11,8,6,0
23,22,10,1
15,15,6,0
15,3,8,0
15,25,6,1
17,15,6,1
14,29,10,1
11,6,7,0
8,8,6,0
16,15,9,1
16,24,6,1
12,5,6,0
14,10,6,0
17,15,10,1
18,23,9,1
12,23,6,0
21,22,9,1
12,23,8,1
17,21,7,1
12,9,6,0
18,16,9,1
13,10,8,0
15,18,9,0
18,16,7,0
15,11,6,0
17,12,6,0
15,14,6,0
15,25,3,0
9,12,6,0
14,12,6,0
17,22,9,1
13,17,10,0
21,6,8,0
13,14,8,0
19,12,6,0
13,14,6,0
17,18,7,1
17,12,6,1
18,4,3,0
19,28,9,1
9,7,6,0
13,18,9,0
8,8,6,0
17,22,8,1
13,17,6,1
16,24,9,1
19,10,6,0
16,15,3,0
14,18,7,0
13,29,10,1
15,24,9,1
4,25,6,0
14,9,4,0
0,16,6,0
10,20,8,0
15,16,3,0
15,19,8,0
17,35,10,1
15,24,7,1
14,6,6,0
4,13,6,0
6,9,1,0
21,34,10,1
15,23,9,1
13,4,6,0
12,17,6,0
12,16,7,1
16,32,9,1
13,24,10,1
15,19,6,0
14,13,6,0
10,19,6,0
20,29,6,1
18,21,9,1
15,16,10,0
9,10,7,0
15,18,8,0
7,19,2,0
9,20,3,0
13,17,8,0
20,32,9,1
18,17,10,1
9,17,3,0
19,20,6,0
22,30,8,1
10,31,7,1
15,21,7,1
18,33,9,1
14,22,8,1
16,17,4,0
17,16,7,1
16,24,6,1
14,15,6,0
13,3,6,0
15,23,7,1
13,22,6,1
20,25,6,0
10,7,7,0
11,18,7,0
17,28,8,1
15,15,4,0
12,7,6,0
8,18,6,0
20,9,6,0
21,12,6,0
19,32,10,1
15,6,3,0
15,16,6,0
13,7,6,0
10,14,10,0
12,18,8,1
15,13,6,0
21,30,8,1
4,19,8,0
16,16,6,0
13,20,8,1
13,25,6,1
17,22,9,1
17,10,8,0
17,23,6,1
19,23,8,1
3,16,6,0
17,31,8,1
16,10,3,0
12,17,6,1
17,33,8,1
13,19,8,1
0,15,8,0
14,12,4,0
12,10,6,0
9,18,6,0
13,15,7,0
15,22,6,1
17,9,6,0
18,4,4,0
17,20,6,1
17,9,6,0
12,15,6,0
13,4,6,0
12,9,6,0
13,10,6,0
17,23,8,1
16,23,7,1
20,18,6,1
12,11,8,0
6,9,4,0
15,22,10,1
16,11,6,0
20,23,8,1
21,31,10,1
15,29,8,1
14,33,9,1
16,16,6,1
12,15,6,0
18,31,7,1
20,22,9,1
12,11,6,0
19,12,8,1
10,22,6,1
18,9,6,0
14,16,7,1
10,15,6,0
11,4,6,0
16,12,6,0
7,8,8,0
12,3,6,0
20,26,9,1
