,Unnamed: 0,Cod.Car.Sec,Aprobado,Anho.Firma,Primer.Par,Segundo.Par,AOT,Primer.Rec,Segundo.Rec,Nota.Final
148,4603,ELE-PLS13 ,1,2017,21,17,0,0,0,"1F-1,2F-2"
149,4604,CIV-PLS13 ,1,2017,13,19,0,14,0,"2F-1,3F-2"
150,4605,MCT-PLS13 ,1,2017,15,28,0,0,0,1F-4
151,4606,CIV-PLS13 ,1,2017,16,20,0,22,45,3F-2
152,4607,IND-PLS13 ,1,2017,17,17,0,25,0,2F-2
153,4608,CIV-PLS13 ,1,2017,18,17,0,0,0,2F-2
154,4609,MEC-PLS13 ,0,2017,10,12,0,10,31,3F-1
155,4610,MEC-PLS13 ,0,0,14,11,0,14,12,
156,4611,ELE-PLS13 ,0,2016,10,0,0,22,0,2F-1
157,4612,MEC-PLS13 ,0,0,3,2,0,0,0,
158,4613,CIV-PLS13 ,1,2017,6,25,0,30,0,2F-3
159,4614,CIV-PLS13 ,1,2017,10,18,0,40,0,2F-4
160,4615,CIV-PLS13 ,1,2017,13,24,0,0,0,1F-3
161,4616,ELE-PLS13 ,0,0,0,0,0,0,0,
162,4617,CIV-PLS13 ,0,0,3,16,0,14,23,
163,4618,MCT-PLS13 ,1,2017,10,15,0,32,0,2F-2
164,4619,ELE-PLS13 ,1,2017,14,22,0,0,0,1F-2
165,4620,ELE-PLS13 ,1,2016,6,14,0,0,0,"1F-1,2F-2"
166,4621,ELE-PLS13 ,0,0,13,0,0,0,0,
167,4622,CIV-PLS13 ,0,0,5,2,0,0,0,
168,4623,IND-PLS13 ,0,0,3,12,0,14,0,
169,4624,MCT-PLS13 ,0,0,10,7,0,0,0,
170,4625,CIV-PLS13 ,1,2017,17,25,0,0,0,1F-3
171,4626,CIV-PLS13 ,0,2017,15,25,0,0,0,"1F-1,3F-1"
172,4627,MCT-PLS13 ,1,2017,20,26,0,0,0,1F-3
173,4628,ELE-PLS13 ,1,2017,11,14,0,38,0,2F-3
174,4629,CIV-PLS13 ,0,2016,8,23,0,22,31,3F-1
175,4630,MCT-PLS13 ,0,2017,17,12,0,16,20,3F-1
176,4631,IND-PLS13 ,1,2017,20,24,0,0,0,1F-3
177,4632,CIV-PLS13 ,1,2017,14,25,0,0,0,1F-2
178,4633,MEC-PLS13 ,0,0,18,5,0,18,24,
179,4634,ELE-PLS13 ,0,2017,8,17,0,18,40,3F-1
180,4635,ELE-PLS13 ,1,2017,17,25,0,0,0,1F-4
181,4636,CIV-PLS13 ,0,2017,12,8,0,10,32,3F-1
182,4637,ELE-PLS13 ,1,2017,19,16,0,0,0,1F-3
183,4638,MCT-PLS13 ,0,2017,19,16,0,0,0,
184,4639,MCT-PLS13 ,1,2017,17,25,0,0,0,1F-5
185,4640,CIV-PLS13 ,0,2017,4,13,0,10,30,3F-1
186,4641,MCT-PLS13 ,1,2017,17,19,0,0,0,1F-2
187,4642,CIV-PLS13 ,0,0,5,11,0,3,12,
188,4643,CIV-PLS13 ,0,0,9,1,0,0,0,
189,4644,MCT-PLS13 ,0,2017,8,17,0,18,34,3F-1
190,4645,CIV-PLS13 ,1,2017,8,27,0,0,0,1F-2
191,4646,IND-PLS13 ,0,0,4,11,0,22,8,
192,4647,CIV-PLS13 ,0,0,7,11,0,5,8,
193,4648,ELE-PLS13 ,0,0,6,7,0,0,0,
194,4649,CIV-PLS13 ,1,2017,19,32,0,0,0,2F-5
195,4650,CIV-PLS13 ,0,2016,5,24,0,0,0,1F-1
196,4651,ELE-PLS13 ,0,0,5,17,0,22,10,
197,4652,CIV-PLS13 ,0,0,0,0,0,0,0,
198,4653,CIV-PLS13 ,0,0,1,0,0,0,0,
199,4654,MEC-PLS13 ,1,2017,13,21,0,0,0,1F-2
200,4655,CIV-PLS13 ,0,0,3,10,0,0,0,
201,4656,ELE-PLS13 ,0,2017,11,19,0,0,0,"1F-1,2F-1,3F-1"
202,4657,IND-PLS13 ,0,0,7,5,0,0,0,
203,4658,CIV-PLS13 ,0,0,7,0,0,0,0,
204,4659,CIV-PLS13 ,1,2017,16,15,0,0,0,"1F-1,2F-1,3F-2"
205,4660,CIV-PLS13 ,0,0,9,3,0,0,0,
206,4661,MCT-PLS13 ,0,2016,10,8,0,0,12,"1F-1,3F-1"
207,4662,IND-PLS13 ,0,0,0,0,0,0,0,
208,4663,CIV-PLS13 ,0,0,5,15,0,0,12,
209,4664,ELE-PLS13 ,0,0,0,10,0,0,0,
210,4665,MCT-PLS13 ,1,2016,6,0,0,0,0,"1F-1,2F-2"
211,4666,CIV-PLS13 ,0,0,3,16,0,16,10,
212,4667,MCT-PLS13 ,0,2017,19,10,0,20,33,3F-1
213,4668,CIV-PLS13 ,0,0,0,8,0,0,0,
214,4669,ELE-PLS13 ,0,0,10,16,0,23,26,
215,4670,MCT-PLS13 ,0,0,5,16,0,6,26,
216,4671,CIV-PLS13 ,0,0,13,6,0,20,22,
217,4672,CIV-PLS13 ,0,0,12,3,0,12,14,
218,4673,MCT-PLS13 ,0,0,5,10,0,0,4,
219,4674,CIV-PLS13 ,0,0,16,10,0,26,16,
220,4675,CIV-PLS13 ,1,2016,16,30,0,0,0,1F-4
221,4676,MCT-PLS13 ,1,2017,22,23,0,0,0,1F-4
222,4677,ELE-PLS13 ,1,2017,14,7,0,18,31,3F-2
223,4678,CIV-PLS13 ,0,0,6,0,0,0,0,
224,4679,MEC-PLS13 ,0,0,12,8,0,0,8,
225,4680,MCT-PLS13 ,1,2017,18,14,0,0,0,"1F-1,2F-2"
226,4681,MEC-PLS13 ,0,0,8,14,0,8,14,
227,4682,CIV-PLS13 ,0,2017,16,20,0,0,0,"1F-1,2F-1,3F-1"
228,4683,IND-PLS13 ,0,2017,14,10,0,22,38,3F-1
229,4684,MEC-PLS13 ,0,0,8,16,0,5,8,
230,4685,ELE-PLS13 ,1,2017,14,25,0,0,0,1F-2
231,4686,MCT-PLS13 ,0,0,0,0,0,0,0,
232,4687,MCT-PLS13 ,0,0,11,7,0,10,0,
233,4688,ELE-PLS13 ,0,0,6,6,0,0,0,
234,4689,IND-PLS13 ,0,0,13,14,0,16,0,
235,4690,CIV-PLS13 ,0,0,4,12,0,23,21,
236,4691,CIV-PLS13 ,0,0,4,12,0,9,18,
237,4692,ELE-PLS13 ,0,0,7,8,0,12,0,
238,4693,IND-PLS13 ,0,0,1,12,0,0,0,
239,4694,CIV-PLS13 ,0,0,7,12,0,8,20,
240,4695,IND-PLS13 ,1,2017,13,17,0,0,0,1F-3
241,4696,IND-PLS13 ,1,2017,14,24,0,0,0,1F-2
242,4697,MCT-PLS13 ,0,2016,0,0,0,0,8,3F-1
243,4698,MCT-PLS13 ,0,0,10,17,0,0,16,
244,4699,IND-PLS13 ,0,0,0,0,0,0,0,
245,4700,ELE-PLS13 ,0,0,8,2,0,0,0,
246,4701,IND-PLS13 ,0,2017,13,21,0,0,0,"1F-1,2F-1,3F-1"
247,4702,MCT-PLS13 ,1,2016,16,26,0,0,0,1F-3
248,4703,IND-PLS13 ,0,0,0,0,0,0,0,
249,4704,IND-PLS13 ,1,2017,16,21,0,0,0,1F-2
250,4705,MCT-PLS13 ,0,0,7,14,0,22,24,
251,4706,CIV-PLS13 ,0,2016,9,15,0,15,28,3F-1
252,4707,CIV-PLS13 ,1,2017,15,24,0,0,0,1F-3
253,4708,CIV-PLS13 ,1,2017,15,29,0,0,0,1F-5
254,4709,IND-PLS13 ,0,0,11,11,0,6,10,
255,4710,MCT-PLS13 ,0,0,8,10,0,6,24,
256,4711,IND-PLS13 ,0,0,9,2,0,0,0,
257,4712,CIV-PLS13 ,0,0,0,0,0,0,0,
258,4713,CIV-PLS13 ,0,0,4,11,0,26,22,
259,4714,ELE-PLS13 ,1,2017,17,22,0,0,0,1F-4
260,4715,MCT-PLS13 ,0,0,10,0,0,0,0,
261,4716,MCT-PLS13 ,0,0,0,0,0,0,0,
262,4717,MCT-PLS13 ,1,2017,16,19,0,16,0,2F-4
263,4718,IND-PLS13 ,0,0,5,20,0,19,28,
264,4719,CIV-PLS13 ,0,0,5,6,0,0,0,
265,4720,CIV-PLS13 ,0,0,5,13,0,30,24,
266,4721,MEC-PLS13 ,0,2017,11,17,0,0,0,
267,4722,CIV-PLS13 ,0,0,6,10,0,14,12,
268,4723,ELE-PLS13 ,0,0,4,13,0,12,14,
269,4724,CIV-PLS13 ,0,2017,10,20,0,0,26,"1F-1,3F-1"
270,4725,ELE-PLS13 ,0,0,4,0,0,0,0,
271,4726,CIV-PLS13 ,0,2017,15,5,0,12,27,3F-1
272,4727,MCT-PLS13 ,0,0,5,10,0,12,16,
273,4728,CIV-PLS13 ,0,0,6,4,0,0,0,
274,4729,CIV-PLS13 ,0,0,10,17,0,20,12,
275,4730,ELE-PLS13 ,0,0,8,19,0,27,26,
276,4731,IND-PLS13 ,1,2017,16,19,0,30,0,2F-3
277,4732,ELE-PLS13 ,0,2017,14,14,0,31,0,"2F-1,3F-1"
278,4733,ELE-PLS13 ,0,0,9,7,0,16,8,
279,4734,CIV-PLS13 ,1,2017,15,17,0,14,0,2F-2
280,4735,ELE-PLS13 ,0,0,11,9,0,20,26,
281,4736,ELE-PLS13 ,0,0,5,13,0,19,10,
282,4737,IND-PLS13 ,1,2017,7,14,0,30,29,3F-2
283,4738,ELE-PLS13 ,0,2017,13,7,0,20,32,3F-1
284,4739,ELE-PLS13 ,0,0,0,11,0,0,0,
285,4740,ELE-PLS13 ,0,0,7,0,0,0,0,
286,4741,MCT-PLS13 ,0,0,6,0,0,0,0,
287,4742,IND-PLS13 ,0,0,3,5,0,0,0,
288,4743,CIV-PLS13 ,0,0,9,11,0,24,21,
289,4744,IND-PLS13 ,1,2017,15,23,0,0,0,1F-3
290,4745,IND-PLS13 ,0,0,3,14,0,15,10,
291,4746,CIV-PLS13 ,1,2017,13,30,0,0,0,1F-4
292,4747,ELE-PLS13 ,0,0,5,3,0,0,0,
293,4748,CIV-PLS13 ,0,0,7,11,0,10,0,
294,4749,MCT-PLS13 ,0,0,9,3,0,0,0,
295,4750,CIV-PLS13 ,1,2017,19,11,0,0,0,"1F-1,2F-2"
296,4751,ELE-PLS13 ,1,2017,13,23,0,24,50,3F-4
297,4752,IND-PLS13 ,0,0,2,0,0,0,0,
298,4753,CIV-PLS13 ,0,0,8,18,0,19,20,
299,4754,CIV-PLS13 ,0,0,10,9,0,14,16,
300,4755,MCT-PLS13 ,1,2017,12,21,0,0,0,"1F-1,2F-1,3F-3"
301,4756,IND-PLS13 ,0,2017,7,21,0,30,22,3F-1
302,4757,CIV-PLS13 ,1,2017,12,21,0,0,0,1F-2
303,4758,CIV-PLS13 ,1,2017,10,25,0,0,0,1F-3
304,4759,CIV-PLS13 ,0,0,4,12,0,12,4,
305,4760,ELE-PLS13 ,1,2017,16,23,0,0,0,"1F-1,2F-2"
306,4761,ELE-PLS13 ,0,0,3,0,0,0,0,
307,4762,ELE-PLS13 ,0,0,10,10,0,20,6,
308,4763,ELE-PLS13 ,0,0,8,2,0,0,0,
309,4764,CIV-PLS13 ,1,2017,16,14,0,20,38,3F-3
310,4765,CIV-PLS13 ,0,2017,5,24,0,0,0,"1F-1,2F-1"
311,4766,ELE-PLS13 ,0,2017,12,22,0,33,34,3F-1
312,4767,CIV-PLS13 ,0,0,3,7,0,0,0,
313,4768,CIV-PLS13 ,0,2017,12,18,0,23,20,3F-1
314,4769,ELE-PLS13 ,1,2017,9,18,0,30,0,2F-2
315,4770,CIV-PLS13 ,1,2017,14,21,0,46,0,2F-4
316,4771,CIV-PLS13 ,0,0,0,0,0,0,0,
317,4772,ELE-PLS13 ,1,2016,14,11,0,0,0,"1F-1,2F-3"
318,4773,CIV-PLS13 ,0,0,1,3,0,0,0,
319,4774,CIV-PLS13 ,0,0,14,10,0,21,20,
320,4775,ELE-PLS13 ,0,0,12,14,0,0,2,
321,4776,CIV-PLS13 ,0,0,7,15,0,29,26,
322,4777,IND-PLS13 ,0,0,5,16,0,4,10,
323,4778,CIV-PLS13 ,0,0,13,12,0,10,12,
324,4779,CIV-PLS13 ,1,2017,9,21,0,20,20,3F-2
325,4780,CIV-PLS13 ,1,2017,7,16,0,8,30,3F-2
326,4781,MCT-PLS13 ,0,0,7,8,0,15,24,
